"Velocity: Magnitude (m/s)","Pressure (Pa)","X (m)","Y (m)","Z (m)"
0.99013795612740974,1.4077362919004421,0.5,0.19375000000000003,0.0062500000000000333
0.99013795612740962,1.4077362919006577,0.5,0.0062500000000000333,0.0062500000000000333
0.99013795612740929,1.4077362919003336,0.5,0.19375000000000006,0.19375000000000003
0.99585797407108656,1.4077790939096384,0.5,0.19375000000000006,0.0187500000000001
0.99585797407108634,1.4077790939104595,0.5,0.18125000000000008,0.0062500000000000333
0.99585797407108623,1.4077790939106867,0.5,0.0187500000000001,0.0062500000000000333
0.99585797407108634,1.4077790939107415,0.5,0.0062500000000000333,0.0187500000000001
0.99013795612740929,1.4077362919005634,0.5,0.0062500000000000333,0.19375000000000006
0.99585797407108601,1.4077790939103019,0.5,0.18125000000000008,0.19375000000000006
0.99585797407108623,1.4077790939099495,0.5,0.19375000000000003,0.18125000000000008
0.99578017685849318,1.4080413003197727,0.5,0.15625000000000011,0.0062500000000000333
0.99581177028165324,1.408035568008619,0.5,0.19375000000000006,0.031250000000000111
0.9958117702816528,1.4080355680094232,0.5,0.16875000000000007,0.0062500000000000333
1.0015864761323372,1.408625785795085,0.5,0.18125000000000008,0.0187500000000001
0.99578017685849307,1.4080413003198937,0.5,0.19375000000000006,0.043750000000000067
0.99581177028165302,1.4080355680095964,0.5,0.031250000000000111,0.0062500000000000324
1.0015864761323372,1.4086257857952496,0.5,0.0187500000000001,0.0187500000000001
0.99581177028165313,1.4080355680096133,0.5,0.0062500000000000333,0.031250000000000111
0.99578017685849285,1.4080413003198591,0.5,0.043750000000000067,0.0062500000000000324
0.9957801768584934,1.4080413003198557,0.5,0.0062500000000000333,0.043750000000000067
0.99585797407108645,1.4077790939101136,0.5,0.0187500000000001,0.19375000000000003
0.99585797407108634,1.4077790939106649,0.5,0.0062500000000000333,0.18125000000000008
0.99578017685849352,1.4080413003188008,0.5,0.15625000000000011,0.19375000000000003
0.99581177028165224,1.4080355680090997,0.5,0.16875000000000007,0.19375000000000006
